postion_key,unix_time,latitude,longitude,depth,conductivity,density,temperature,salinity
300,1493224434.36023,0.0,0.0,-30.066123962402344,5.225689888000488,1025.0177001953125,22.765399932861328,36.16476821899414
100,1493227354.37683,-0.1455465943222513,-0.05943761010085594,-46.810646057128906,5.12175989151001,1025.4544677734375,21.686800003051758,36.240291595458984
1300,1493228366.18625,-0.23933677320291058,-0.0969974187570414,-26.252227783203125,5.230889797210693,1025.0068359375,22.793800354003906,36.18311309814453
400,1493231415.47208,-0.5715173206609117,-0.1865239534330808,-24.84186363220215,5.2333598136901855,1024.99853515625,22.8125,36.18736267089844
500,1493233734.68307,-0.9113461419075117,-0.2873111536106629,-102.6357192993164,4.910990238189697,1026.45947265625,19.432100296020508,36.43629455566406
4200,1493236249.15332,-1.257091072499287,-0.3726138510670555,-53.94105911254883,5.101990222930908,1025.552978515625,21.48110008239746,36.25343322753906
700,1493238448.02939,-1.608702571045122,-0.46687115540978674,-113.49710845947266,4.773190021514893,1026.7821044921875,18.177200317382812,36.37385177612305
4900,1493239392.19266,-1.7608349160247674,-0.5043441711174148,-78.31962585449219,5.000529766082764,1026.0498046875,20.374399185180664,36.36760711669922
5200,1493244116.04401,-2.4583818090703886,-0.5586431299773463,-60.26685333251953,5.059360027313232,1025.7193603515625,21.04599952697754,36.27751159667969
900,1493245471.23065,-2.675301152298619,-0.629983895190515,-50.96180725097656,5.147910118103027,1025.3690185546875,21.969900131225586,36.2087287902832
5800,1493246902.1196,-2.9059587408766965,-0.6356625805668333,-110.9654769897461,4.892910003662109,1026.56787109375,19.228300094604492,36.46047592163086
5900,1493250924.42154,-3.3541714698084033,-0.6434246543663515,-149.3534698486328,4.506750106811523,1027.2276611328125,15.936200141906738,36.04095458984375
6000,1493252473.87012,-3.654017747883428,-0.6408042511735864,-131.12826538085938,4.743959903717041,1027.0054931640625,17.80940055847168,36.4438362121582
6100,1493254100.33371,-3.96876780943531,-0.6380536015023337,-82.83753204345703,4.992080211639404,1026.040771484375,20.347299575805664,36.32012176513672
6200,1493255675.79926,-4.273648838588074,-0.6353891988383855,-26.431005477905273,5.229410171508789,1024.9202880859375,22.879499435424805,36.10076141357422
6300,1493257239.99991,-4.576349903170167,-0.6327438472230615,-64.4078140258789,5.034110069274902,1025.7386474609375,20.874900817871094,36.2175407409668
1600,1493258439.88132,-4.593444487006045,-0.7853253855762529,-22.497859954833984,5.260009765625,1024.900634765625,23.080299377441406,36.174041748046875
6400,1493260499.86884,-4.938841685422601,-0.8201144201720983,-84.28721618652344,4.988770008087158,1025.9749755859375,20.40250015258789,36.24513244628906
6500,1493262030.6044,-5.170144981532173,-0.714671361184338,-30.403804779052734,5.256899833679199,1024.958740234375,23.03219985961914,36.18686294555664
6600,1493263617.84595,-5.441706446672597,-0.7695918469260775,-103.69807434082031,4.905700206756592,1026.463134765625,19.396699905395508,36.42269515991211
6700,1493265160.4928,-5.705638197912624,-0.8229693022773611,-179.55648803710938,4.394589900970459,1027.5308837890625,14.905699729919434,35.95547103881836
6800,1493266728.78256,-5.973957192793966,-0.8772340320870216,-111.10447692871094,4.908209800720215,1026.5284423828125,19.376300811767578,36.45870590209961
6900,1493268306.04654,-6.243811592506428,-0.9318092815761436,-32.71792221069336,5.282660007476807,1025.0660400390625,23.090599060058594,36.33744812011719
2200,1493269257.67694,-6.406626222097725,-0.9647368493310012,-22.31907844543457,5.298709869384766,1024.8695068359375,23.361000061035156,36.242027282714844
7000,1493271132.08197,-6.82365260025352,-1.1179908854756824,-112.8617172241211,4.873660087585449,1026.70068359375,18.96150016784668,36.53278350830078
7100,1493272741.88733,-6.870584296510232,-1.0973696725053874,-23.93803596496582,5.241720199584961,1024.784912109375,23.09589958190918,36.0191764831543
