unix_time,latitude,longitude,depth,conductivity,density,temperature,salinity
1493224434.36023,28.157813697229116,-84.9003047319505,-30.066123962402344,5.225689888000488,1025.0177001953125,22.765399932861328,36.16476821899414
1493227354.37683,28.156953455690484,-84.90241131247356,-46.810646057128906,5.12175989151001,1025.4544677734375,21.686800003051758,36.240291595458984
1493228366.18625,28.15640985194306,-84.9037687922896,-26.252227783203125,5.230889797210693,1025.0068359375,22.793800354003906,36.18311309814453
1493231415.47208,28.155114132888958,-84.90857663458006,-24.84186363220215,5.2333598136901855,1024.99853515625,22.8125,36.18736267089844
1493233734.68307,28.153655438032157,-84.91349517478602,-102.6357192993164,4.910990238189697,1026.45947265625,19.432100296020508,36.43629455566406
1493236249.15332,28.152420850645743,-84.9184993422839,-53.94105911254883,5.101990222930908,1025.552978515625,21.48110008239746,36.25343322753906
1493238448.02939,28.15105666308206,-84.92358842003232,-113.49710845947266,4.773190021514893,1026.7821044921875,18.177200317382812,36.37385177612305
1493239392.19266,28.150514315490447,-84.92579031995552,-78.31962585449219,5.000529766082764,1026.0498046875,20.374399185180664,36.36760711669922
1493244116.04401,28.149728445738344,-84.93588632189673,-60.26685333251953,5.059360027313232,1025.7193603515625,21.04599952697754,36.27751159667969
1493245471.23065,28.14869592963398,-84.93902592173174,-50.96180725097656,5.147910118103027,1025.3690185546875,21.969900131225586,36.2087287902832
1493246902.1196,28.148613741924258,-84.94236436318316,-110.9654769897461,4.892910003662109,1026.56787109375,19.228300094604492,36.46047592163086
1493250924.42154,28.148501401298567,-84.9488516067312,-149.3534698486328,4.506750106811523,1027.2276611328125,15.936200141906738,36.04095458984375
1493252473.87012,28.1485393264384,-84.95319145633228,-131.12826538085938,4.743959903717041,1027.0054931640625,17.80940055847168,36.4438362121582
1493254100.33371,28.14857913663772,-84.95774701706102,-82.83753204345703,4.992080211639404,1026.040771484375,20.347299575805664,36.32012176513672
1493255675.79926,28.14861769858265,-84.96215973754313,-26.431005477905273,5.229410171508789,1024.9202880859375,22.879499435424805,36.10076141357422
1493257239.99991,28.148655984801426,-84.96654090612994,-64.4078140258789,5.034110069274902,1025.7386474609375,20.874900817871094,36.2175407409668
1493258439.88132,28.14644766961014,-84.96678832598559,-22.497859954833984,5.260009765625,1024.900634765625,23.080299377441406,36.174041748046875
1493260499.86884,28.145944167322657,-84.97178746055341,-84.28721618652344,4.988770008087158,1025.9749755859375,20.40250015258789,36.24513244628906
