position_key,unix_time,latitude,longitude,depth,conductivity,density,temperature,salinity
42700,1494952399.48212,27.697515230762715,-83.35970577252961,-25.90554428100586,5.325570106506348,1024.7457275390625,23.683000564575195,36.183197021484375
42800,1494956296.53329,27.701238388259593,-83.36610747270063,-26.96831512451172,5.318600177764893,1024.7625732421875,23.625200271606445,36.17669677734375
42900,1494958936.40549,27.701143494888523,-83.37105643620723,-12.833984375,5.480100154876709,1024.267333984375,25.11520004272461,36.19557189941406
43000,1494960756.4325,27.70237426206032,-83.37580820981594,-7.579300403594971,5.487229824066162,1024.2325439453125,25.173799514770508,36.20343780517578
43100,1494962384.45148,27.702403947640263,-83.38066731517323,-30.8419246673584,5.301839828491211,1024.7955322265625,23.499799728393555,36.14937210083008
43200,1494964161.16418,27.702436344526124,-83.38597022257568,-23.472068786621094,5.3544697761535645,1024.687744140625,23.918399810791016,36.212642669677734
43300,1494965954.57825,27.702469045948526,-83.39132297825995,-17.075380325317383,5.456329822540283,1024.356201171875,24.889699935913086,36.19771194458008
43400,1494967758.30841,27.702501935475706,-83.39670652400868,-10.171892166137695,5.480319976806641,1024.2607421875,25.111900329589844,36.20072937011719
43500,1494970532.92038,27.70324118255213,-83.40119695896102,-11.989666938781738,5.474969863891602,1024.2769775390625,25.06920051574707,36.19448471069336
43600,1494972200.76901,27.703815955442387,-83.40731264857088,-25.826082229614258,5.315820217132568,1024.78271484375,23.580299377441406,36.19248962402344
43700,1494974082.64078,27.70446448486027,-83.41421312124432,-15.555638313293457,5.4633002281188965,1024.3280029296875,24.957000732421875,36.196250915527344
43800,1494975741.75027,27.705036246080823,-83.42029676613278,-32.50060272216797,5.293129920959473,1024.839111328125,23.40410041809082,36.16020584106445
43900,1494977670.0267,27.705700767427135,-83.42736739587554,-17.095243453979492,5.445089817047119,1024.3924560546875,24.780399322509766,36.201446533203125
44000,1494980458.72928,27.705246876185374,-83.43348437773392,-26.213449478149414,5.3160600662231445,1024.78662109375,23.57939910888672,36.19492721557617
44100,1494982345.29788,27.708687983790195,-83.43795680504975,-11.304278373718262,5.468420028686523,1024.304443359375,24.995500564575195,36.20497131347656
44200,1494984026.96884,27.712240175816593,-83.44221997229157,-27.206695556640625,5.315060138702393,1024.791015625,23.572599411010742,36.19248962402344
44300,1494985903.32941,27.71620361057399,-83.44697669295793,-3.1589033603668213,5.5318498611450195,1024.040771484375,25.638399124145508,36.16478729248047
44400,1494987561.10202,27.71970532219752,-83.45117927608767,-18.922889709472656,5.447319984436035,1024.384765625,24.810800552368164,36.19308853149414
44500,1494989439.05945,27.723672129986372,-83.45594004490151,-4.370797157287598,5.48891019821167,1024.252197265625,25.1481990814209,36.23749923706055
44600,1494992131.25003,27.725430909196778,-83.4599021056825,-16.11188316345215,5.455729961395264,1024.35009765625,24.888399124145508,36.194580078125
44700,1494993829.32941,27.72808905228081,-83.46372996133155,-28.627023696899414,5.293529987335205,1024.8681640625,23.35759925842285,36.202762603759766
44800,1494995762.25427,27.731114818273127,-83.4680872118934,-9.178565979003906,5.4649200439453125,1024.3082275390625,24.9601993560791,36.20787811279297
44900,1494997439.67764,27.73374062680323,-83.47186850420819,-26.83919334411621,5.331989765167236,1024.765625,23.706100463867188,36.2131233215332
